"","sort(rowSums(as.matrix(term_freq_con)), decreasing = TRUE)"
"ownership",12
"pooling",12
"proactively",12
"progressive",12
"question",12
"quite",12
"recreational",12
"renowned",12
"rentals",12
"requires",12
"roles",12
"russia",12
"scenes",12
"seeds",12
"seekers",12
"senior",12
"serving",12
"sight",12
"sow",12
"spiritual",12
"submitted",12
"sure",12
"things",12
"tide",12
"tie",12
"tomorrows",12
"tourists",12
"triggered",12
"turnover",12
"ultra",12
"unavoidably",12
"virtual",12
"vital",12
"weak",12
"witnessed",12
"wounds",12
"abiding",11
"accelerate",11
"accumulated",11
"acute",11
"airports",11
"allowing",11
"arket",11
"array",11
"aspire",11
"assaulted",11
"associations",11
"averaged",11
"beset",11
"beverages",11
"carbon",11
"chamber",11
"charge",11
"cherish",11
"choices",11
"chop",11
"clean",11
"clinic",11
"clinics",11
"cluster",11
"colleagues",11
"colourful",11
"complementary",11
"complicated",11
"confrontation",11
"consumers",11
"contentment",11
"controlling",11
"controversies",11
"conventional",11
"conversation",11
"deep",11
"deeply",11
"demands",11
"disagreements",11
"disease",11
"dislikes",11
"dissenting",11
"doubled",11
"drawn",11
"dreams",11
"ecommerce",11
"educational",11
"elaborate",11
"elders",11
"enter",11
"entertainment",11
"entry",11
"etf",11
"evolved",11
"evs",11
"examination",11
"exertion",11
"extremes",11
"eyes",11
"fail",11
"faiths",11
"featuring",11
"fill",11
"friend",11
"fripperies",11
"fta",11
"function",11
"geopolitical",11
"harmoniously",11
"harvest",11
"heirs",11
"hence",11
"highvalueadded",11
"hinges",11
"honoured",11
"hours",11
"hungering",11
"hungry",11
"imports",11
"incentives",11
"indepth",11
"industrys",11
"instance",11
"institutes",11
"laid",11
"leaving",11
"legend",11
"likes",11
"lines",11
"managing",11
"manifest",11
"marine",11
"marked",11
"materials",11
"mediumterm",11
"men",11
"metropolis",11
"mine",11
"mong",11
"morning",11
"movement",11
"mtr",11
"neighbourhood",11
"netting",11
"oecd",11
"onthejob",11
"onus",11
"originally",11
"path",11
"pears",11
"performing",11
"placed",11
"plough",11
"premiums",11
"principal",11
"projected",11
"projection",11
"promenades",11
"psychologist",11
"purposes",11
"queen",11
"quota",11
"readily",11
"regrettably",11
"relieving",11
"render",11
"rents",11
"representatives",11
"revitalisation",11
"runway",11
"seem",11
"sha",11
"sharply",11
"shatin",11
"silver",11
"similarly",11
"slow",11
"sold",11
"spend",11
"station",11
"stations",11
"steadfast",11
"stomach",11
"streamline",11
"strictly",11
"structures",11
"synergy",11
"trees",11
"trials",11
"unit",11
"unite",11
"unprecedented",11
"unstable",11
"unthinkable",11
"update",11
"uschina",11
"useless",11
"utilising",11
"utopia",11
"variety",11
"wages",11
"walnuts",11
"wasting",11
"waterfront",11
"waved",11
"welcome",11
"wifi",11
"worried",11
"academy",10
"accepted",10
"acquire",10
"activity",10
"adoption",10
"agenda",10
"aiib",10
"analysis",10
"anniversary",10
"applicable",10
"aspects",10
"attain",10
"award",10
"basel",10
"bearing",10
"bilateral",10
"boom",10
"brief",10
"burdens",10
"campaign",10
"cef",10
"circulation",10
"classes",10
"combat",10
"communication",10
"confident",10
"confronted",10
"controversial",10
"conviction",10
"corresponding",10
"corridor",10
"creates",10
"designers",10
"differences",10
"easy",10
"elements",10
"elite",10
"embrace",10
"employs",10
"enactment",10
"engagement",10
"esports",10
"eternal",10
"exempt",10
"expatriates",10
"experts",10
"failure",10
"fairly",10
"fallen",10
"farmers",10
"fifth",10
"firsthand",10
"fishing",10
"flourish",10
"forced",10
"fundraising",10
"furthering",10
"goals",10
"heart",10
"hikes",10
"holding",10
"horizons",10
"hundred",10
"imf",10
"incubatees",10
"install",10
"institution",10
"intake",10
"lack",10
"lands",10
"lifestyles",10
"listened",10
"located",10
"lowest",10
"makes",10
"managed",10
"managers",10
"map",10
"marketing",10
"mean",10
"middleaged",10
"minimise",10
"models",10
"modes",10
"monitoring",10
"movements",10
"nongovernmental",10
"oala",10
"occasion",10
"organization",10
"output",10
"pandemic",10
"pass",10
"plays",10
"preschool",10
"presents",10
"processes",10
"procurement",10
"producer",10
"prolonged",10
"promotes",10
"properly",10
"provinces",10
"provisions",10
"prudence",10
"psychiatric",10
"publicprivate",10
"realities",10
"reasons",10
"recognised",10
"recommended",10
"reflect",10
"reinforced",10
"replace",10
"resulted",10
"revitalise",10
"revitalising",10
"rezoning",10
"rises",10
"sea",10
"seems",10
"sense",10
"sentiments",10
"sharp",10
"shattering",10
"shifting",10
"shrinking",10
"signs",10
"solution",10
"specified",10
"spirits",10
"squatter",10
"stimulating",10
"stream",10
"streamlining",10
"succeed",10
"successes",10
"successfully",10
"sustaining",10
"table",10
"tenacious",10
"theatre",10
"think",10
"told",10
"twothirds",10
"underpins",10
"undertake",10
"vigilant",10
"waiver",10
"welfarism",10
"window",10
"wisdom",10
"acquisition",9
"adding",9
"adopting",9
"advertising",9
"amend",9
"anticipate",9
"appeal",9
"applying",9
"attractive",9
"auction",9
"authoritys",9
"awarded",9
"backs",9
"becoming",9
"beijing",9
"borrowers",9
"branding",9
"broad",9
"bustle",9
"buzz",9
"canvas",9
"cap",9
"capita",9
"carrying",9
"cdtas",9
"changed",9
"chaotic",9
"characteristic",9
"cohort",9
"commencement",9
"complex",9
"compromising",9
"congestion",9
"connectivity",9
"containing",9
"coping",9
"coronavirus",9
"createsmart",9
"crowds",9
"decreased",9
"deflator",9
"demographic",9
"demonstrated",9
"desalination",9
"designs",9
"desires",9
"displaying",9
"drama",9
"dynamic",9
"earners",9
"eased",9
"easter",9
"eastern",9
"eligibility",9
"emphasise",9
"employed",9
"empower",9
"enforcement",9
"equality",9
"eurozone",9
"evident",9
"excel",9
"extent",9
"federal",9
"ferries",9
"firmly",9
"fix",9
"fortify",9
"fronts",9
"gone",9
"greening",9
"guangdonghong",9
"heard",9
"higherthanexpected",9
"highlight",9
"hksar",9
"hung",9
"hustle",9
"identification",9
"identifying",9
"immense",9
"included",9
"inclusion",9
"incomes",9
"incorporated",9
"inferior",9
"installation",9
"integrity",9
"intend",9
"intermediaries",9
"issuances",9
"jostling",9
"judge",9
"kinds",9
"know",9
"kongguangdong",9
"liveable",9
"lowering",9
"lowinterest",9
"makeshift",9
"measured",9
"met",9
"miracle",9
"motor",9
"movie",9
"nongovernment",9
"obtain",9
"orderly",9
"outcome",9
"outturn",9
"paths",9
"pedestrians",9
"perform",9
"plain",9
"planks",9
"planned",9
"politician",9
"post",9
"preparatory",9
"press",9
"prevention",9
"publics",9
"putting",9
"queues",9
"reasonable",9
"recess",9
"remind",9
"reminder",9
"remove",9
"reporting",9
"resettlement",9
"robotics",9
"routes",9
"row",9
"salary",9
"saving",9
"scholarship",9
"seemingly",9
"sell",9
"sensitive",9
"shops",9
"sleep",9
"slogan",9
"spaces",9
"spent",9
"staged",9
"stars",9
"states",9
"stem",9
"steps",9
"stretched",9
"stride",9
"strike",9
"supplementary",9
"surpluses",9
"team",9
"tells",9
"threat",9
"threerunway",9
"tight",9
"totalling",9
"track",9
"tsuen",9
"turned",9
"turning",9
"unconnected",9
"undermine",9
"underpinned",9
"upholding",9
"users",9
"venues",9
"via",9
"vigorous",9
"vigour",9
"vote",9
"welldeveloped",9
"whereas",9
"woke",9
"worry",9
"wto",9
"accreditation",8
"actions",8
"adhering",8
"adjacent",8
"alert",8
"align",8
"alleviation",8
"alongside",8
"amidst",8
"ancillary",8
"anxiety",8
"applies",8
"appreciation",8
"ask",8
"attach",8
"away",8
"backup",8
"balancing",8
"begun",8
"beneficial",8
"bills",8
"bolster",8
"bought",8
"broadly",8
"buoyant",8
"captive",8
"cautious",8
"cautiously",8
"challenging",8
"cigarettes",8
"commencing",8
"compliance",8
"conflict",8
"connections",8
"constantly",8
"consulted",8
"contraction",8
"contractors",8
"crossing",8
"crunch",8
"currency",8
"cycle",8
"cycles",8
"deployed",8
"depot",8
"destination",8
"determined",8
"diploma",8
"districtbased",8
"dutybound",8
"ecic",8
"edges",8
"ensuing",8
"etos",8
"event",8
"examining",8
"exerting",8
"experiences",8
"expo",8
"facilitator",8
"fare",8
"festival",8
"fixed",8
"forms",8
"forum",8
"fstb",8
"gained",8
"gateway",8
"gives",8
"handful",8
"heights",8
"hospitality",8
"hzmb",8
"impacts",8
"importantly",8
"improvements",8
"indeed",8
"indirectly",8
"inflationlinked",8
"intensive",8
"internationalisation",8
"internationally",8
"investhk",8
"joining",8
"keeps",8
"kind",8
"known",8
"kongmacao",8
"kwu",8
"lifelong",8
"lost",8
"lowered",8
"married",8
"master",8
"mrf",8
"multistorey",8
"nurses",8
"occur",8
"offerings",8
"often",8
"onethird",8
"openended",8
"organised",8
"panprd",8
"pension",8
"persistent",8
"pitches",8
"plunged",8
"pose",8
"possibility",8
"practicable",8
"presence",8
"preventing",8
"pricing",8
"prime",8
"promoted",8
"pursuit",8
"pushing",8
"reaching",8
"realising",8
"realtime",8
"receipts",8
"reforms",8
"rely",8
"requiring",8
"restaurants",8
"reverse",8
"roadside",8
"route",8
"rules",8
"running",8
"selfeducation",8
"separately",8
"servants",8
"serves",8
"shift",8
"showing",8
"side",8
"sixth",8
"slower",8
"sluggish",8
"solving",8
"sport",8
"stated",8
"storage",8
"stored",8
"subsequent",8
"subsidising",8
"sukuk",8
"summit",8
"supports",8
"surface",8
"surplusdeficit",8
"survey",8
"tapping",8
"tension",8
"tenyear",8
"timelimited",8
"tradition",8
"train",8
"transit",8
"transitional",8
"travellers",8
"treating",8
"tremendous",8
"twoyear",8
"undergraduate",8
"underpinning",8
"underway",8
"union",8
"victims",8
"vtc",8
"watch",8
"weaken",8
"wholesale",8
"whose",8
"widely",8
"york",8
"youths",8
"abolished",7
"absolutely",7
"accelerating",7
"acceptable",7
"accommodating",7
"actualise",7
"admitted",7
"advances",7
"aef",7
"agency",7
"aimed",7
"allows",7
"america",7
"anticipated",7
"anxious",7
"arbitration",7
"areducing",7
"assessing",7
"assume",7
"attributed",7
"auditors",7
"balanced",7
"becomes",7
"began",7
"blood",7
"broadbased",7
"broader",7
"buffer",7
"bypass",7
"campus",7
"capitalisation",7
"capped",7
"causeway",7
"ccf",7
"centralwan",7
"chair",7
"chambers",7
"channel",7
"charged",7
"chargers",7
"childrens",7
"cloud",7
"collective",7
"college",7
"commercialbusiness",7
"commercialisation",7
"construct",7
"consultancy",7
"consulting",7
"contracts",7
"convenience",7
"convenient",7
"conventions",7
"crossings",7
"csi",7
"currencies",7
"customers",7
"dampen",7
"deciding",7
"declaration",7
"definitely",7
"delegations",7
"delighted",7
"deliver",7
"delivered",7
"demonstrating",7
"dental",7
"deterioration",7
"devoted",7
"directors",7
"disposal",7
"distinctive",7
"dutyfree",7
"earliest",7
"enacted",7
"encourages",7
"engine",7
"enhancements",7
"entail",7
"entered",7
"entities",7
"entrepreneurship",7
"etwb",7
"exit",7
"expenditureat",7
"expressions",7
"externallyoriented",7
"faces",7
"features",7
"feeling",7
"felt",7
"fields",7
"fight",7
"focuses",7
"focusing",7
"formulary",7
"found",7
"fraught",7
"frequency",7
"frontline",7
"ftas",7
"functioning",7
"games",7
"granting",7
"gravity",7
"guarantees",7
"handsomely",7
"highspending",7
"hongkong",7
"hos",7
"hygiene",7
"imposed",7
"impressive",7
"inappropriate",7
"inaugural",7
"incorporate",7
"initiated",7
"inservice",7
"intense",7
"interaction",7
"intermediary",7
"internships",7
"kindergarten",7
"kongshenzhen",7
"kongtaiwan",7
"korea",7
"lap",7
"libraries",7
"lightly",7
"litre",7
"locations",7
"loop",7
"losses",7
"lowcarbon",7
"machinery",7
"mary",7
"masters",7
"merchandise",7
"mindset",7
"ministry",7
"minor",7
"minority",7
"mismatch",7
"moral",7
"mounting",7
"names",7
"nonlocal",7
"olympic",7
"origin",7
"outlets",7
"outreach",7
"par",7
"parking",7
"partner",7
"pathways",7
"pavilion",7
"pcs",7
"personalised",7
"picked",7
"police",7
"postdoctoral",7
"preferred",7
"preparations",7
"prerequisite",7
"prh",7
"prince",7
"proceed",7
"proceeds",7
"processed",7
"protectionism",7
"proud",7
"provider",7
"provincial",7
"purchasing",7
"ratepayers",7
"recover",7
"recovered",7
"recruit",7
"regularly",7
"relaxed",7
"relaxing",7
"reliance",7
"relocate",7
"renovation",7
"researchers",7
"respective",7
"respects",7
"restoring",7
"restricted",7
"resumed",7
"revenueraising",7
"revert",7
"revise",7
"rolling",7
"rqfii",7
"schedule",7
"sehk",7
"session",7
"sheung",7
"shine",7
"showed",7
"signing",7
"situated",7
"slight",7
"soft",7
"specifically",7
"speeding",7
"sponsor",7
"spur",7
"standing",7
"stress",7
"strongly",7
"subsequently",7
"suffer",7
"supervisory",7
"supplies",7
"swd",7
"switch",7
"systematic",7
"tandem",7
"tenders",7
"tours",7
"tower",7
"traders",7
"transparent",7
"underemployment",7
"undergoing",7
"utmost",7
"vaccination",7
"visual",7
"wellreceived",7
"willingness",7
"wong",7
"wrote",7
"abolish",6
"abuse",6
"accept",6
"adjusting",6
"advice",6
"advocated",6
"afterschool",6
"ages",6
"alike",6
"arcade",6
"article",6
"assessments",6
"assuming",6
"attaching",6
"attained",6
"attributable",6
"avian",6
"barrierfree",6
"barriers",6
"begin",6
"beps",6
"beverage",6
"body",6
"breaking",6
"breakthroughs",6
"brings",6
"brunt",6
"bud",6
"bus",6
"capacities",6
"capitalising",6
"cards",6
"careful",6
"carers",6
"cast",6
"certificates",6
"charitable",6
"christian",6
"chronic",6
"chuk",6
"clinching",6
"combination",6
"complementing",6
"conclusion",6
"confront",6
"connecting",6
"contest",6
"context",6
"converted",6
"costeffectively",6
"counselling",6
"cutting",6
"deferred",6
"delegation",6
"depleted",6
"dining",6
"dollars",6
"domicile",6
"drastic",6
"drivers",6
"dual",6
"duration",6
"easier",6
"easily",6
"elder",6
"electrical",6
"emphasis",6
"empowerment",6
"endjanuary",6
"enjoyment",6
"enrol",6
"epcs",6
"eto",6
"everchanging",6
"excellent",6
"except",6
"excluding",6
"exemptions",6
"exists",6
"expenditures",6
"expire",6
"exporters",6
"familiar",6
"fares",6
"farreaching",6
"fast",6
"fastest",6
"feasible",6
"feature",6
"fewer",6
"fighting",6
"fleet",6
"fluctuation",6
"forecasting",6
"foreseeable",6
"fps",6
"franchised",6
"frc",6
"freight",6
"frozen",6
"fundamentally",6
"gap",6
"gbp",6
"hang",6
"head",6
"headwinds",6
"heightened",6
"highquality",6
"hightech",6
"hiking",6
"history",6
"hkha",6
"holistic",6
"hotspots",6
"house",6
"iam",6
"iii",6
"illness",6
"immigration",6
"imminent",6
"improves",6
"incident",6
"incorporating",6
"incur",6
"indoor",6
"inevitable",6
"infectious",6
"inflows",6
"injecting",6
"injections",6
"installations",6
"integral",6
"intended",6
"interested",6
"investigation",6
"inviting",6
"ipo",6
"ippas",6
"ird",6
"japanese",6
"kilometres",6
"kindergartens",6
"kwong",6
"leadership",6
"liantangheung",6
"lies",6
"livelihoodrelated",6
"locally",6
"lowskilled",6
"mail",6
"mainstay",6
"mainstream",6
"marketoriented",6
"meant",6
"medicines",6
"methods",6
"microfinance",6
"middleclass",6
"midstream",6
"mindful",6
"mission",6
"mix",6
"modernisation",6
"modification",6
"modifications",6
"moment",6
"moved",6
"mtrcl",6
"multifaceted",6
"nonelderly",6
"nonrecurrent",6
"notes",6
"notice",6
"numerous",6
"obstacles",6
"older",6
"outpacing",6
"overhaul",6
"parameters",6
"parties",6
"performances",6
"permits",6
"pickup",6
"pillars",6
"ping",6
"poet",6
"policyholders",6
"portal",6
"posttsunami",6
"preferential",6
"proficiency",6
"publiclyfunded",6
"push",6
"quarterly",6
"reality",6
"rebounded",6
"receives",6
"recognise",6
"reductions",6
"registering",6
"regularise",6
"relocating",6
"remission",6
"removing",6
"repair",6
"reputation",6
"requirement",6
"resemblance",6
"restaurant",6
"resumption",6
"reviews",6
"revisions",6
"risen",6
"samaritan",6
"say",6
"scholars",6
"schoolbased",6
"search",6
"securing",6
"severely",6
"shanghaihong",6
"shape",6
"shares",6
"shenzhenhong",6
"shifts",6
"singapore",6
"slowed",6
"solidarity",6
"solved",6
"somewhere",6
"sought",6
"southbound",6
"spare",6
"spatial",6
"speaking",6
"specialty",6
"spectacular",6
"sponsored",6
"stadium",6
"stands",6
"statistics",6
"stocks",6
"strives",6
"subdued",6
"subprime",6
"successively",6
"suitability",6
"surged",6
"surpassed",6
"tasks",6
"teachers",6
"tenancies",6
"tensions",6
"themed",6
"themes",6
"timetable",6
"traded",6
"trails",6
"transforming",6
"translate",6
"travelling",6
"ultimate",6
"ultralow",6
"unable",6
"underprivileged",6
"unexpected",6
"unfavourable",6
"unusual",6
"vacant",6
"valued",6
"visits",6
"wah",6
"wake",6
"wave",6
"weakening",6
"wellness",6
"widening",6
"willing",6
"withstand",6
"wkcd",6
"words",6
"xiqu",6
"abilities",5
"abounds",5
"accelerated",5
"acceptance",5
"accident",5
"adapt",5
"addressing",5
"adversely",5
"advise",5
"agencies",5
"agents",5
"aggregate",5
"aincreasing",5
"alia",5
"alleviating",5
"architecture",5
"arena",5
"arise",5
"assumed",5
"assumptions",5
"atmosphere",5
"attitude",5
"attraction",5
"audience",5
"austerity",5
"authentication",5
"authorised",5
"beneficiaries",5
"betterthanexpected",5
"betting",5
"biliterate",5
"billionin",5
"boasts",5
"borrowing",5
"break",5
"brexit",5
"burgeoning",5
"businessfriendly",5
"calling",5
"caverns",5
"ccpi",5
"chains",5
"chapter",5
"chile",5
"chinaus",5
"civic",5
"club",5
"clustering",5
"collaborating",5
"collected",5
"collection",5
"commercialising",5
"communications",5
"communitywe",5
"comparative",5
"competency",5
"components",5
"comprise",5
"computer",5
"concerning",5
"condition",5
"conferences",5
"consequences",5
"conserve",5
"contingent",5
"continuum",5
"contrary",5
"contributes",5
"converting",5
"coordinated",5
"coordinating",5
"cosmetics",5
"costeffective",5
"costeffectiveness",5
"crosssector",5
"crosssectoral",5
"cultures",5
"curriculum",5
"cwaiving",5
"cyclical",5
"dampened",5
"debts",5
"decarbonisation",5
"decelerated",5
"decide",5
"decisions",5
"deductible",5
"deepen",5
"deepening",5
"deeper",5
"deliberation",5
"depends",5
"deploy",5
"desire",5
"detail",5
"deteriorate",5
"dhc",5
"diligence",5
"disciplines",5
"disposable",5
"disposed",5
"dlt",5
"documents",5
"domestically",5
"doubling",5
"dovetail",5
"downstream",5
"driver",5
"eliminate",5
"emergency",5
"empowers",5
"english",5
"enjoyed",5
"enough",5
"entity",5
"entrants",5
"envisage",5
"equip",5
"era",5
"erosion",5
"evasion",5
"everincreasing",5
"evolving",5
"excise",5
"expectation",5
"expediting",5
"expert",5
"explain",5
"exported",5
"exposure",5
"extraordinary",5
"fellow",5
"ferry",5
"fhb",5
"fierce",5
"fine",5
"fire",5
"fixedrate",5
"followed",5
"formulated",5
"formulation",5
"france",5
"freest",5
"freeze",5
"frequently",5
"geospatial",5
"graduation",5
"grows",5
"guesthouses",5
"guidance",5
"guiding",5
"halfyear",5
"happy",5
"hdp",5
"heads",5
"heartfelt",5
"heavier",5
"highs",5
"hill",5
"hire",5
"hkias",5
"holders",5
"homebased",5
"honour",5
"hosted",5
"hybrid",5
"impairment",5
"indices",5
"inflow",5
"ingredients",5
"innovations",5
"inspection",5
"installing",5
"intangible",5
"intensity",5
"intention",5
"inter",5
"interactive",5
"intermodal",5
"intervene",5
"involvement",5
"irrespective",5
"japans",5
"judiciary",5
"juncture",5
"landing",5
"laundering",5
"layoffs",5
"liaise",5
"library",5
"lift",5
"linking",5
"mainlandhong",5
"makeup",5
"massive",5
"meetings",5
"meets",5
"merger",5
"mgs",5
"mic",5
"migrant",5
"missions",5
"moderately",5
"moratorium",5
"mortgages",5
"multipronged",5
"munchek",5
"murray",5
"neutrality",5
"ninth",5
"nonchinese",5
"nonprofit",5
"nonprofitmaking",5
"nontax",5
"notably",5
"numbers",5
"occupational",5
"officers",5
"operated",5
"overcoming",5
"overexpansion",5
"owing",5
"owned",5
"panel",5
"parttime",5
"patient",5
"permanent",5
"persevere",5
"persistence",5
"persistently",5
"pharmaceutical",5
"phased",5
"philosophy",5
"physical",5
"placement",5
"pleased",5
"portfolio",5
"portfolios",5
"portion",5
"ports",5
"poses",5
"possess",5
"practical",5
"previously",5
"professions",5
"profile",5
"projections",5
"promotions",5
"promptly",5
"protecting",5
"purchases",5
"qianhai",5
"quantities",5
"quarry",5
"queensway",5
"ratings",5
"reaches",5
"reading",5
"reason",5
"red",5
"refer",5
"regimes",5
"reinsurance",5
"relaxation",5
"remuneration",5
"renewable",5
"reprovisioning",5
"request",5
"resort",5
"respite",5
"retaining",5
"retired",5
"retrofitting",5
"revaluation",5
"revealed",5
"riding",5
"rigidity",5
"rock",5
"rough",5
"safe",5
"sai",5
"screening",5
"secured",5
"selfenhancement",5
"selfoccupied",5
"seriously",5
"shan",5
"sharpen",5
"shortest",5
"shoulder",5
"shue",5
"situations",5
"siu",5
"skilled",5
"slackened",5
"sludge",5
"smoking",5
"societys",5
"speaks",5
"spectrum",5
"speculation",5
"speculative",5
"spends",5
"spread",5
"statement",5
"stepping",5
"stories",5
"structured",5
"subventions",5
"suggest",5
"suit",5
"surcharge",5
"surveillance",5
"swift",5
"swiftly",5
"swing",5
"synchronised",5
"taxis",5
"tenement",5
"terminals",5
"thousands",5
"tranche",5
"transhipment",5
"tripartite",5
"twopronged",5
"ultimately",5
"undertaking",5
"undoubtedly",5
"unlikely",5
"unlimited",5
"unsold",5
"upgraded",5
"uplift",5
"urgently",5
"varying",5
"vessels",5
"vietnam",5
"visible",5
"visiting",5
"vitality",5
"waived",5
"wales",5
"weather",5
"weathered",5
"weight",5
"wellpositioned",5
"wetland",5
"winwin",5
"workload",5
"worsening",5
"zero",5
"abrupt",4
"academia",4
"academies",4
"accurate",4
"achievement",4
"acquiring",4
"acts",4
"actually",4
"admiralty",4
"aerospace",4
"africa",4
"alleviated",4
"alternative",4
"amongst",4
"analytics",4
"andtechnology",4
"appreciable",4
"approaches",4
"approaching",4
"aroused",4
"arrange",4
"arranging",4
"aspiration",4
"assessable",4
"assumption",4
"attaches",4
"attempt",4
"attend",4
"attending",4
"attributes",4
"audit",4
"australia",4
"babysitter",4
"backing",4
"balances",4
"balancewheel",4
"barring",4
"basically",4
"batteries",4
"benchmark",4
"biometric",4
"birth",4
"blessed",4
"blockchain",4
"booming",4
"budding",4
"budgetary",4
"burdened",4
"buy",4
"candidates",4
"caroline",4
"carryback",4
"cashbased",4
"cataract",4
"causes",4
"cbd",4
"ced",4
"certainly",4
"certainty",4
"chaired",4
"circuit",4
"claimed",4
"cohesion",4
"cohorts",4
"coinvestment",4
"collect",4
"combining",4
"commissioner",4
"committees",4
"commodities",4
"complicate",4
"computing",4
"conclude",4
"concludingremarks",4
"confronting",4
"conjunction",4
"connected",4
"consequently",4
"consistently",4
"content",4
"continuity",4
"contracted",4
"contrast",4
"cornerstone",4
"covid",4
"coworking",4
"declined",4
"declining",4
"deepseated",4
"default",4
"degreeawarding",4
"demandside",4
"dementia",4
"density",4
"dependant",4
"deposittaking",4
"derivatives",4
"derived",4
"designing",4
"deteriorated",4
"developmentas",4
"devise",4
"dhcs",4
"dialogue",4
"differential",4
"dilapidated",4
"disbursed",4
"disclosure",4
"discounting",4
"disney",4
"display",4
"displayed",4
"disputes",4
"dont",4
"doubt",4
"downturns",4
"earning",4
"earth",4
"ecological",4
"economicsituation",4
"economys",4
"educator",4
"efficacy",4
"efficiently",4
"effluent",4
"either",4
"elasticity",4
"election",4
"emission",4
"enabled",4
"engines",4
"enhances",4
"enjoying",4
"enriching",4
"enrolled",4
"entitled",4
"entrepreneur",4
"envisaged",4
"epd",4
"equaliser",4
"equally",4
"excess",4
"executives",4
"exempted",4
"exgratia",4
"expansionary",4
"expenditurecutting",4
"experiencing",4
"exploration",4
"explored",4
"exporting",4
"factory",4
"fastestgrowing",4
"favour",4
"fdf",4
"finalise",4
"finalised",4
"financialservices",4
"focused",4
"formats",4
"forums",4
"fouryear",4
"framed",4
"frameworks",4
"frequent",4
"friends",4
"fuel",4
"functional",4
"gazetted",4
"gem",4
"generous",4
"genome",4
"governmentinitiated",4
"graduate",4
"grand",4
"grateful",4
"greener",4
"grounds",4
"growththe",4
"guangzhou",4
"guide",4
"harder",4
"harmony",4
"heated",4
"highway",4
"historical",4
"hkhs",4
"hollywood",4
"hom",4
"homework",4
"hosting",4
"ill",4
"immobility",4
"impede",4
"importation",4
"importexport",4
"inadequate",4
"inclusive",4
"incremental",4
"independence",4
"indicates",4
"indicators",4
"indirect",4
"initially",4
"intends",4
"intensify",4
"intergenerational",4
"internationalised",4
"intertwined",4
"intervention",4
"invested",4
"itb",4
"item",4
"itvf",4
"joined",4
"journey",4
"kam",4
"kiu",4
"kwh",4
"lab",4
"landfills",4
"largethe",4
"left",4
"length",4
"liberal",4
"lifestyle",4
"lighting",4
"listen",4
"locals",4
"lot",4
"lowerthanexpected",4
"macau",4
"mains",4
"maintains",4
"marginalised",4
"markedly",4
"marking",4
"mass",4
"match",4
"maximising",4
"mediation",4
"medication",4
"mei",4
"memorandum",4
"mexico",4
"mobilise",4
"mobilityour",4
"modernise",4
"morei",4
"motivate",4
"music",4
"narrowing",4
"needsexpenditure",4
"ngong",4
"night",4
"node",4
"normalisation",4
"noticeable",4
"nurtured",4
"observe",4
"offset",4
"ogcio",4
"oneforone",4
"oneyear",4
"onshore",4
"onsite",4
"orientation",4
"outcomes",4
"overlook",4
"overwhelming",4
"owner",4
"pacific",4
"paediatrics",4
"paragraph",4
"parentgrandparent",4
"passage",4
"passed",4
"patent",4
"payout",4
"performed",4
"persist",4
"persisted",4
"phasing",4
"picking",4
"piloting",4
"pioneer",4
"players",4
"plaza",4
"plight",4
"politics",4
"polluter",4
"polluting",4
"pollution",4
"pools",4
"positively",4
"postal",4
"predict",4
"preemployment",4
"privatisation",4
"producing",4
"profession",4
"professionalism",4
"profit",4
"progression",4
"promulgated",4
"proposing",4
"protectionist",4
"proximity",4
"psychological",4
"publicise",4
"purposebuilt",4
"quantity",4
"query",4
"radio",4
"rangeforecast",4
"ranking",4
"rchds",4
"recommendation",4
"recording",4
"recreation",4
"redeploying",4
"reengineering",4
"reforming",4
"regardless",4
"register",4
"regulated",4
"rein",4
"releasing",4
"remember",4
"remittance",4
"remote",4
"reorganisation",4
"replaced",4
"reports",4
"reprioritisation",4
"responding",4
"restored",4
"rollout",4
"ruthless",4
"saleable",4
"saved",4
"sbp",4
"scrutiny",4
"segments",4
"seizing",4
"selfconfidence",4
"selfimprovement",4
"sen",4
"sensors",4
"sessions",4
"setbacks",4
"sets",4
"sham",4
"shortages",4
"shorten",4
"shortfall",4
"showcasing",4
"significance",4
"simplify",4
"simplifying",4
"sincere",4
"sitting",4
"sizeable",4
"smallclass",4
"smoothly",4
"somewhat",4
"sophisticated",4
"southern",4
"southwest",4
"specifications",4
"sponsorship",4
"spurred",4
"stages",4
"stiff",4
"stifle",4
"stood",4
"store",4
"storms",4
"strengthened",4
"strenuous",4
"stressing",4
"subdegree",4
"sums",4
"supplying",4
"supportive",4
"surging",4
"svf",4
"switzerland",4
"tackling",4
"targeting",4
"tdc",4
"techniques",4
"tei",4
"telecommunications",4
"theatres",4
"threefold",4
"tightened",4
"togetherwe",4
"tokyo",4
"tools",4
"totalled",4
"transfers",4
"treasure",4
"treatments",4
"trigger",4
"trilingual",4
"troubled",4
"trucks",4
"trusts",4
"tunnels",4
"twice",4
"type",4
"tyres",4
"ueig",4
"uncertainty",4
"undergone",4
"unity",4
"unless",4
"unpredictable",4
"unrest",4
"uptodate",4
"userfriendly",4
"utilisation",4
"uuuu",4
"valuesin",4
"venue",4
"viable",4
"visibly",4
"visited",4
"volatilities",4
"vulnerable",4
"wards",4
"wars",4
"waters",4
"weakened",4
"weeks",4
"wellequipped",4
"winning",4
"worsened",4
"worst",4
